[{inputs, [20,20,13,0,1,1,0]} , {output, [9]}]
[{inputs, [21,18,18,0,1,1,1]} , {output, [7]}]
[{inputs, [19,19,7,1,0,1,0]} , {output, [2]}]
[{inputs, [11,10,16,0,1,0,0]} , {output, [7]}]
[{inputs, [21,6,3,1,0,0,0]} , {output, [8]}]
[{inputs, [25,8,6,0,0,1,0]} , {output, [6]}]
[{inputs, [23,16,3,1,1,0,1]} , {output, [6]}]
[{inputs, [24,11,16,1,0,0,1]} , {output, [6]}]
[{inputs, [26,1,18,1,1,1,0]} , {output, [10]}]
[{inputs, [18,12,3,1,1,1,1]} , {output, [9]}]
[{inputs, [12,18,19,0,0,1,0]} , {output, [2]}]
[{inputs, [14,7,0,0,1,0,1]} , {output, [10]}]
[{inputs, [12,9,9,1,1,0,1]} , {output, [1]}]
[{inputs, [15,16,2,0,0,0,0]} , {output, [5]}]
[{inputs, [14,19,4,0,0,1,1]} , {output, [10]}]
[{inputs, [25,3,3,0,1,1,1]} , {output, [9]}]
[{inputs, [26,10,19,0,0,1,0]} , {output, [10]}]
[{inputs, [15,18,14,0,1,0,1]} , {output, [9]}]
[{inputs, [23,12,14,1,1,1,1]} , {output, [4]}]
[{inputs, [21,13,12,1,1,0,0]} , {output, [6]}]
[{inputs, [20,4,20,1,1,0,1]} , {output, [6]}]
[{inputs, [17,18,9,0,0,0,0]} , {output, [4]}]
[{inputs, [14,6,17,1,0,1,1]} , {output, [4]}]
[{inputs, [25,10,12,1,1,0,0]} , {output, [4]}]
[{inputs, [21,10,6,0,1,1,1]} , {output, [5]}]
[{inputs, [22,19,7,0,0,0,1]} , {output, [1]}]
[{inputs, [24,9,8,0,0,1,1]} , {output, [7]}]
[{inputs, [11,8,20,1,1,0,1]} , {output, [10]}]
[{inputs, [11,20,15,1,1,1,0]} , {output, [8]}]
[{inputs, [10,8,3,1,0,1,1]} , {output, [4]}]
[{inputs, [16,5,18,1,0,1,0]} , {output, [9]}]
[{inputs, [29,3,18,1,0,0,0]} , {output, [3]}]
[{inputs, [22,6,1,0,0,0,1]} , {output, [1]}]
[{inputs, [25,3,4,1,0,1,1]} , {output, [1]}]
[{inputs, [30,12,14,0,1,0,0]} , {output, [9]}]
[{inputs, [12,12,4,1,0,0,0]} , {output, [8]}]
[{inputs, [20,10,11,1,1,0,1]} , {output, [6]}]
[{inputs, [23,8,17,1,0,1,0]} , {output, [5]}]
[{inputs, [27,2,0,0,0,1,1]} , {output, [4]}]
[{inputs, [16,11,8,1,0,1,0]} , {output, [6]}]
[{inputs, [10,20,20,0,1,1,1]} , {output, [3]}]
[{inputs, [29,20,19,1,1,0,1]} , {output, [5]}]
[{inputs, [20,18,9,0,0,1,0]} , {output, [6]}]
[{inputs, [13,8,9,0,1,1,1]} , {output, [3]}]
[{inputs, [13,15,0,0,0,1,0]} , {output, [10]}]
[{inputs, [24,17,14,0,0,1,0]} , {output, [5]}]
[{inputs, [28,11,12,1,0,1,1]} , {output, [1]}]
[{inputs, [30,4,20,0,0,1,1]} , {output, [10]}]
[{inputs, [30,14,7,1,0,0,1]} , {output, [3]}]
[{inputs, [21,2,6,0,0,0,1]} , {output, [5]}]
[{inputs, [20,17,11,1,1,1,1]} , {output, [6]}]
[{inputs, [19,18,7,1,1,1,1]} , {output, [9]}]
[{inputs, [29,20,15,0,0,1,1]} , {output, [9]}]
[{inputs, [24,3,7,1,1,1,1]} , {output, [10]}]
[{inputs, [13,7,20,1,0,1,1]} , {output, [2]}]
[{inputs, [19,9,1,1,1,1,0]} , {output, [4]}]
[{inputs, [16,1,14,1,1,0,0]} , {output, [1]}]
[{inputs, [28,16,8,1,1,1,1]} , {output, [9]}]
[{inputs, [21,17,0,0,0,0,0]} , {output, [3]}]
[{inputs, [18,1,9,1,1,1,1]} , {output, [8]}]
[{inputs, [28,4,11,1,1,0,0]} , {output, [3]}]
[{inputs, [27,1,18,0,0,1,1]} , {output, [1]}]
[{inputs, [16,3,6,1,1,1,1]} , {output, [1]}]
[{inputs, [20,9,12,1,1,1,0]} , {output, [3]}]
[{inputs, [22,4,2,1,1,0,0]} , {output, [1]}]
[{inputs, [16,14,20,1,0,0,0]} , {output, [10]}]
[{inputs, [22,20,17,1,0,0,0]} , {output, [1]}]
[{inputs, [11,14,13,1,1,1,0]} , {output, [7]}]
[{inputs, [29,2,16,0,1,1,0]} , {output, [4]}]
[{inputs, [18,2,17,0,1,1,0]} , {output, [4]}]
[{inputs, [17,5,0,0,1,0,1]} , {output, [3]}]
[{inputs, [30,1,16,1,1,0,0]} , {output, [7]}]
[{inputs, [17,1,16,1,0,1,1]} , {output, [9]}]
[{inputs, [27,2,10,1,1,0,1]} , {output, [8]}]
[{inputs, [12,9,4,0,0,0,1]} , {output, [9]}]
[{inputs, [21,16,17,1,0,0,0]} , {output, [8]}]
[{inputs, [20,18,3,1,0,0,1]} , {output, [3]}]
[{inputs, [10,19,17,1,1,0,1]} , {output, [10]}]
[{inputs, [20,20,16,1,1,0,0]} , {output, [8]}]
[{inputs, [19,12,11,1,0,1,1]} , {output, [6]}]
[{inputs, [21,1,2,0,1,0,0]} , {output, [5]}]
[{inputs, [30,16,6,1,0,1,0]} , {output, [3]}]
[{inputs, [29,9,19,0,0,0,0]} , {output, [4]}]
[{inputs, [20,20,17,1,1,0,1]} , {output, [3]}]
[{inputs, [24,18,14,0,1,1,1]} , {output, [2]}]
[{inputs, [11,16,18,1,1,0,0]} , {output, [5]}]
[{inputs, [29,8,19,0,1,1,0]} , {output, [6]}]
[{inputs, [30,19,8,0,1,1,0]} , {output, [2]}]
[{inputs, [30,11,5,1,0,0,1]} , {output, [4]}]
[{inputs, [19,5,20,1,1,0,0]} , {output, [9]}]
[{inputs, [17,19,18,0,0,1,1]} , {output, [10]}]
[{inputs, [28,15,16,0,0,1,0]} , {output, [6]}]
[{inputs, [16,5,18,1,0,1,0]} , {output, [10]}]
[{inputs, [24,2,3,1,0,0,1]} , {output, [1]}]
[{inputs, [17,4,8,0,0,0,0]} , {output, [9]}]
[{inputs, [28,8,20,0,0,0,0]} , {output, [10]}]
[{inputs, [30,16,3,0,0,1,1]} , {output, [10]}]
[{inputs, [30,3,4,1,0,0,1]} , {output, [10]}]
[{inputs, [29,2,12,1,1,1,1]} , {output, [7]}]
