{Last checkpoint on :22/2/2014 at 1:48, 12}
{Last checkpoint on :22/2/2014 at 2:20, 12}
{Last checkpoint on :22/2/2014 at 3:43, 12}
{Last checkpoint on :22/2/2014 at 3:47, 12}
{Last checkpoint on :22/2/2014 at 3:49, 12}
{Last checkpoint on :22/2/2014 at 22:46, 12}
{Last checkpoint on :23/2/2014 at 15:15, 12}
{Last checkpoint on :23/2/2014 at 18:41, 12}
{Last checkpoint on :25/2/2014 at 21:22, 12}
{Last checkpoint on :25/2/2014 at 21:27, 12}
{Last checkpoint on :25/2/2014 at 21:30, 12}
{Last checkpoint on :26/2/2014 at 0:56, 12}
{Last checkpoint on :26/2/2014 at 1:5, 12}
{Last checkpoint on :28/2/2014 at 0:11, 12}
{Last checkpoint on :28/2/2014 at 0:13, 10}
{Last checkpoint on :28/2/2014 at 0:19, 10}
{Last checkpoint on :28/2/2014 at 0:34, 10}
{Last checkpoint on :28/2/2014 at 0:35, 10}
{Last checkpoint on :28/2/2014 at 2:17, 10}
{Last checkpoint on :28/2/2014 at 23:23, 10}
{Last checkpoint on :1/3/2014 at 7:34, 12}
{Last checkpoint on :1/3/2014 at 7:35, 10}
{Last checkpoint on :1/3/2014 at 12:6, 10}
{Last checkpoint on :1/3/2014 at 12:55, 10}
{Last checkpoint on :1/3/2014 at 16:8, 10}
{Last checkpoint on :1/3/2014 at 16:59, 10}
{Last checkpoint on :1/3/2014 at 17:3, 10}
{Last checkpoint on :1/3/2014 at 23:49, 10}
{Last checkpoint on :1/3/2014 at 23:51, 12}
{Last checkpoint on :1/3/2014 at 23:53, 12}
{Last checkpoint on :2/3/2014 at 0:46, 12}
{Last checkpoint on :2/3/2014 at 7:4, 10}
{Last checkpoint on :2/3/2014 at 9:55, 10}
{Last checkpoint on :2/3/2014 at 19:17, 10}
