[{lastTime,12}, {topTime, 12}]
[{lastTime,12}, {topTime, 12}]
[{lastTime,12}, {topTime, 12}]
[{lastTime,12}, {topTime, 12}]
[{lastTime,12}, {topTime, 12}]
[{lastTime,12}, {topTime, 12}]
[{lastTime,12}, {topTime, 12}]
[{lastTime,12}, {topTime, 12}]
[{lastTime,12}, {topTime, 12}]
[{lastTime,12}, {topTime, 12}]
[{lastTime,12}, {topTime, 12}]
[{lastTime,12}, {topTime, 12}]
[{lastTime,12}, {topTime, 12}]
[{lastTime,12}, {topTime, 12}]
[{lastTime,10}, {topTime, 10}]
[{lastTime,10}, {topTime, 10}]
[{lastTime,10}, {topTime, 10}]
[{lastTime,10}, {topTime, 10}]
[{lastTime,10}, {topTime, 10}]
[{lastTime,10}, {topTime, 10}]
[{lastTime,12}, {topTime, 12}]
[{lastTime,10}, {topTime, 10}]
[{lastTime,10}, {topTime, 10}]
[{lastTime,10}, {topTime, 10}]
[{lastTime,10}, {topTime, 10}]
[{lastTime,10}, {topTime, 10}]
[{lastTime,10}, {topTime, 10}]
[{lastTime,10}, {topTime, 10}]
[{lastTime,12}, {topTime, 12}]
[{lastTime,12}, {topTime, 12}]
[{lastTime,12}, {topTime, 12}]
[{lastTime,10}, {topTime, 10}]
[{lastTime,10}, {topTime, 10}]
[{lastTime,10}, {topTime, 10}]
[{lastTime,10}, {topTime, 10}]
[{lastTime,10}, {topTime, 10}]
[{lastTime,12}, {topTime, 12}]
[{lastTime,12}, {topTime, 12}]
[{lastTime,12}, {topTime, 12}]
[{lastTime,10}, {topTime, 10}]
[{lastTime,12}, {topTime, 12}]
[{lastTime,12}, {topTime, 12}]
