[{inputs, [20,0,1,0,1,1,0]} , {output, [1]}]
[{inputs, [21,1,0,0,1,1,1]} , {output, [0]}]
[{inputs, [21,1,0,0,1,1,1]} , {output, [0]}]
[{inputs, [20,0,1,0,1,1,0]} , {output, [1]}]
[{inputs, [20,1,1,0,1,1,1]} , {output, [1]}]
[{inputs, [21,1,0,0,1,1,1]} , {output, [0]}]
[{inputs, [20,0,1,0,1,1,0]} , {output, [1]}]
[{inputs, [20,1,1,0,1,1,1]} , {output, [1]}]
[{inputs, [20,0,1,0,1,1,0]} , {output, [1]}]
[{inputs, [21,1,0,0,1,1,1]} , {output, [0]}]
[{inputs, [21,1,0,0,1,1,1]} , {output, [0]}]
[{inputs, [20,0,1,0,1,1,0]} , {output, [1]}]
[{inputs, [20,1,1,0,1,1,1]} , {output, [1]}]
[{inputs, [21,1,0,0,1,1,1]} , {output, [0]}]
[{inputs, [20,0,1,0,1,1,0]} , {output, [1]}]
[{inputs, [20,1,1,0,1,1,1]} , {output, [1]}]
[{inputs, [20,0,1,0,1,1,0]} , {output, [1]}]
[{inputs, [21,1,0,0,1,1,1]} , {output, [0]}]
[{inputs, [21,1,0,0,1,1,1]} , {output, [0]}]
[{inputs, [20,0,1,0,1,1,0]} , {output, [1]}]
[{inputs, [20,1,1,0,1,1,1]} , {output, [1]}]
[{inputs, [21,1,0,0,1,1,1]} , {output, [0]}]
[{inputs, [20,0,1,0,1,1,0]} , {output, [1]}]
[{inputs, [20,1,1,0,1,1,1]} , {output, [1]}]
